id_jugador;nombre_jugador;id_equipo;estado;score_temporada;score_reciente;evolucion
46662;Jon Moncayola;727;Estable;4.84;4.7;-0.13
1825;Lucas Torró;727;Estable;4.77;4.63;-0.14
181259;Abel Bretones;727;Estable;4.78;4.67;-0.11
46658;Rubén García;727;Rendimiento Alto;4.84;5.28;0.44
67939;Aimar Oroz;727;Estable;4.94;5.03;0.08
46746;Ante Budimir;727;Rendimiento Alto;4.91;5.4;0.49
338751;Victor Muñoz;727;Rendimiento Alto;4.76;5.38;0.62
47574;Moi Gómez;727;Rendimiento Bajo;4.69;4.23;-0.46
146751;Raúl García de Haro;727;Pocos minutos;4.53;0.0;0.0
182592;Jorge Herrando;727;Estable;4.55;4.77;0.22
381197;Asier Osambela;727;Pocos minutos;4.62;0.0;0.0
182621;Iker Muñoz;727;Estable;4.26;4.1;-0.16
46667;Kike Barja;727;Pocos minutos;4.24;0.0;0.0
183848;Julen Agirrezabala;532;Rendimiento Bajo;4.39;3.98;-0.41
47251;Dimitri Foulquier;532;Estable;4.27;4.16;-0.11
333672;César Tárrega;532;Estable;4.6;4.45;-0.15
181582;José Copete;532;Estable;4.61;4.78;0.17
918;José Luis Gayà;532;Estable;4.4;4.65;0.25
46933;Luis Rioja;532;Estable;4.7;4.63;-0.08
315699;Javier Guerra;532;Pocos minutos;4.55;0.0;0.0
47463;Pepelu;532;Rendimiento Alto;5.1;5.4;0.3
162127;Diego López;532;Estable;4.52;4.24;-0.28
1708;Dani Raba;532;Pocos minutos;4.17;0.0;0.0
47264;Hugo Duro;532;Estable;4.52;4.63;0.11
83;Arnaut Danjuma;532;Estable;4.57;4.48;-0.09
41157;André Almeida;532;Estable;4.87;4.72;-0.15
162175;Jesús Vázquez;532;Rendimiento Alto;4.52;4.91;0.39
21153;Baptiste Santamaria;532;Pocos minutos;4.81;0.0;0.0
48465;Filip Ugrinić;532;Estable;4.67;4.83;0.16
916;Mouctar Diakhaby;532;Estable;4.82;4.76;-0.06
48372;Eray Cömert;532;Pocos minutos;5.06;0.0;0.0
47269;Álex Remiro;548;Estable;4.25;4.43;0.18
199044;Jon Aramburu;548;Estable;4.82;4.98;0.15
47314;Igor Zubeldia;548;Estable;4.51;4.49;-0.01
1902;Duje Ćaleta-Car;548;Estable;4.6;4.4;-0.2
47303;Aihen Muñoz;548;Pocos minutos;4.2;0.0;0.0
183744;Beñat Turrientes;548;Estable;4.78;5.04;0.26
290106;Pablo Marín;548;Estable;4.22;4.44;0.23
32862;Takefusa Kubo;548;Rendimiento Alto;5.29;6.09;0.79
47440;Brais Méndez;548;Estable;4.99;4.71;-0.29
47317;Ander Barrenetxea;548;Rendimiento Bajo;4.94;4.2;-0.74
47323;Mikel Oyarzabal;548;Rendimiento Alto;5.03;5.43;0.4
47298;Aritz Elustondo;548;Pocos minutos;4.05;0.0;0.0
61774;Orri Steinn Óskarsson;548;Estable;4.43;4.43;0.0
