id_partido;id_equipo;id_jugador;nombre_jugador;probabilidad
1391111;540;312990;Roberto Fernández;0.355
1391112;546;6490;Luis Vázquez;0.646
1391112;546;403554;Christantus Uche;0.401
1391112;546;47472;Borja Mayoral;0.36
1391112;531;47294;Iñaki Williams;0.37
1391112;531;84086;Robert Navarro;0.354
1391112;531;30510;Álex Berenguer;0.353
1391113;547;2617;Cristhian Stuani;0.452
1391113;547;161670;Vladyslav Vanat;0.438
1391113;547;2182;Viktor Tsygankov;0.387
1391113;533;1707;Gerard Moreno;0.469
1391113;533;182519;Alberto Moleiro;0.44
1391113;533;51016;Tajon Buchanan;0.41
1391116;548;47323;Mikel Oyarzabal;0.475
1391116;548;925;Gonçalo Guedes;0.454
1391116;548;47440;Brais Méndez;0.432
1391116;539;734;Adrián de la Fuente;0.354
1391116;539;378284;Etta Eyong;0.332
1391116;539;128985;Iker Losada;0.331
1391117;718;51530;Federico Viñas;0.345
1391117;718;182486;Alberto Reina;0.308
1391117;718;266202;Ilyas Chaira;0.299
1391117;536;57446;Akor Adams;0.459
1391117;536;25458;Dodi Lukebakio;0.438
1391117;536;48471;Ruben Vargas;0.356
1391115;728;128582;Jorge de Frutos;0.394
1391115;728;131546;Isi Palazón;0.308
1391115;728;41552;Pathé Ismaël Ciss;0.302
1391115;797;161963;Germán Valera;0.397
1391115;797;2063;André Silva;0.38
1391115;797;47013;Rafa Mir;0.378
1391114;798;50048;Vedat Muriqi;0.629
1391114;798;190485;Samú Costa;0.321
1391114;798;1701;Manu Morlanes;0.3
1391114;541;278;Kylian Mbappé;0.7
1391114;541;762;Vinícius Júnior;0.381
1391114;541;336711;Gonzalo García;0.361
1391122;797;47013;Rafa Mir;0.401
1391122;797;161963;Germán Valera;0.373
1391122;797;343202;Álvaro Rodriguez;0.35
1391122;532;47264;Hugo Duro;0.405
1391122;532;47463;Pepelu;0.351
1391122;532;83;Arnaut Danjuma;0.316
1391124;798;50048;Vedat Muriqi;0.629
1391124;798;190485;Samú Costa;0.321
1391124;798;46751;Abdón Prats;0.31
1391124;728;128582;Jorge de Frutos;0.394
1391124;728;47543;Álvaro García;0.361
1391124;728;131546;Isi Palazón;0.33
1391127;548;47323;Mikel Oyarzabal;0.525
1391127;548;47440;Brais Méndez;0.432
1391127;548;925;Gonçalo Guedes;0.429
1391127;542;608;Lucas Boyé;0.446
1391127;542;47181;Toni Martínez;0.369
1391127;542;187214;Carlos Vicente;0.358
1391126;541;278;Kylian Mbappé;0.72
1391126;541;129718;Jude Bellingham;0.404
1391126;541;762;Vinícius Júnior;0.381
1391126;547;2617;Cristhian Stuani;0.452
1391126;547;161670;Vladyslav Vanat;0.438
1391126;547;129678;Azzedine Ounahi;0.394
1391125;727;46746;Ante Budimir;0.551
1391125;727;46658;Rubén García;0.353
1391125;727;338751;Victor Muñoz;0.338
1391125;543;47582;Cucho Hernández;0.47
1391125;543;181421;Abdessamad Ezzalzouli;0.426
1391125;543;1697;Pablo Fornals;0.381
1391121;538;47348;Borja Iglesias;0.416
1391121;538;269163;Williot Swedberg;0.373
1391121;538;351913;Jones El-Abdellaoui;0.329
1391121;718;51530;Federico Viñas;0.345
1391121;718;182486;Alberto Reina;0.308
1391121;718;266202;Ilyas Chaira;0.299
1391128;536;25458;Dodi Lukebakio;0.463
1391128;536;57446;Akor Adams;0.435
1391128;536;48471;Ruben Vargas;0.356
1391128;530;8492;Alexander Sørloth;0.479
1391128;530;56;Antoine Griezmann;0.443
1391128;530;50;Koke;0.398
1391123;539;47467;José Luis Morales;0.342
1391123;539;734;Adrián de la Fuente;0.332
1391123;539;378284;Etta Eyong;0.332
1391123;546;6490;Luis Vázquez;0.646
1391123;546;403554;Christantus Uche;0.378
1391123;546;47320;Juanmi;0.369
1391119;531;47294;Iñaki Williams;0.37
1391119;531;183799;Nico Williams;0.357
1391119;531;84086;Robert Navarro;0.354
1391119;533;1707;Gerard Moreno;0.469
1391119;533;182519;Alberto Moleiro;0.465
1391119;533;180496;Georges Mikautadze;0.397
1391120;529;1323;Dani Olmo;0.534
1391120;529;1496;Raphinha;0.529
1391120;529;931;Ferran Torres;0.48
1391120;540;47349;Javi Puado;0.373
1391120;540;47398;Pere Milla;0.371
1391120;540;184420;Carlos Romero;0.348
