id_tiempo;anio;mes;nombre_mes;dia;nombre_dia;jornada
20210214;2021;2;Febrero;14;Domingo;23
20210215;2021;2;Febrero;15;Lunes;23
20210217;2021;2;Febrero;17;Miércoles;2
20210219;2021;2;Febrero;19;Viernes;24
20210220;2021;2;Febrero;20;Sábado;24
20210221;2021;2;Febrero;21;Domingo;24
20210222;2021;2;Febrero;22;Lunes;24
20210224;2021;2;Febrero;24;Miércoles;1
20210226;2021;2;Febrero;26;Viernes;25
20210227;2021;2;Febrero;27;Sábado;25
20210228;2021;2;Febrero;28;Domingo;25
20210301;2021;3;Marzo;1;Lunes;25
20210305;2021;3;Marzo;5;Viernes;26
20210306;2021;3;Marzo;6;Sábado;26
20210307;2021;3;Marzo;7;Domingo;26
20210308;2021;3;Marzo;8;Lunes;26
20210310;2021;3;Marzo;10;Miércoles;18
20210312;2021;3;Marzo;12;Viernes;27
20210313;2021;3;Marzo;13;Sábado;27
20210314;2021;3;Marzo;14;Domingo;27
20210315;2021;3;Marzo;15;Lunes;27
20210317;2021;3;Marzo;17;Miércoles;2
20210319;2021;3;Marzo;19;Viernes;28
20210320;2021;3;Marzo;20;Sábado;28
20210321;2021;3;Marzo;21;Domingo;28
20210402;2021;4;Abril;2;Viernes;29
20210403;2021;4;Abril;3;Sábado;29
20210404;2021;4;Abril;4;Domingo;29
20210405;2021;4;Abril;5;Lunes;29
20210407;2021;4;Abril;7;Miércoles;29
20210409;2021;4;Abril;9;Viernes;30
20210410;2021;4;Abril;10;Sábado;30
20210411;2021;4;Abril;11;Domingo;30
20210412;2021;4;Abril;12;Lunes;30
20210418;2021;4;Abril;18;Domingo;33
20210421;2021;4;Abril;21;Miércoles;31
20210422;2021;4;Abril;22;Jueves;31
20210424;2021;4;Abril;24;Sábado;32
20210425;2021;4;Abril;25;Domingo;32
20210426;2021;4;Abril;26;Lunes;32
20210428;2021;4;Abril;28;Miércoles;33
20210429;2021;4;Abril;29;Jueves;33
20210430;2021;4;Abril;30;Viernes;34
20210501;2021;5;Mayo;1;Sábado;34
20210502;2021;5;Mayo;2;Domingo;34
20210503;2021;5;Mayo;3;Lunes;34
20210507;2021;5;Mayo;7;Viernes;35
20210508;2021;5;Mayo;8;Sábado;35
20210509;2021;5;Mayo;9;Domingo;35
20210510;2021;5;Mayo;10;Lunes;35
