id_jugador;nombre_jugador;id_equipo;posicion;estado;score_temporada;score_reciente;evolucion
31;J. Giménez;530;Defensa;Rendimiento Bajo;6.92;5.78;-1.15
50;Koke;530;Mediocentro;Rendimiento Alto;3.45;49.06;45.61
56;A. Griezmann;530;Delantero;Estable;2.05;4.36;2.31
133185;J. Cardoso;530;Mediocentro;Rendimiento Alto;0.57;33.33;32.76
133;C. Lenglet;530;Defensa;Estable;4.51;6.05;1.54
47301;Robin Le Normand;530;Defensa;Pocos minutos;4.84;0.0;0.0
162012;M. Ruggeri;530;Defensa;Estable;5.04;5.16;0.12
8492;A. Sørloth;530;Delantero;Rendimiento Alto;2.6;6.58;3.98
323935;G. Simeone;530;Mediocentro;Rendimiento Alto;2.7;33.25;30.55
6503;N. Molina;530;Defensa;Estable;3.06;5.32;2.26
67972;C. Gallagher;530;Mediocentro;Rendimiento Alto;0.37;23.46;23.1
2465;J. Musso;530;Portero;Pocos minutos;1.0;0.0;0.0
47566;Javi Galán;530;Defensa;Rendimiento Alto;2.6;8.0;5.4
338508;I. Kostis;530;Defensa;Pocos minutos;0.0;0.0;0.0
336594;Pablo Barrios;530;Mediocentro;Rendimiento Alto;4.85;49.59;44.74
753;Marcos Llorente;530;Defensa;Estable;6.2;6.47;0.27
428799;A. Puric;530;Defensa;Pocos minutos;0.0;0.0;0.0
336685;Javier Boñar;530;Defensa;Pocos minutos;0.0;0.0;0.0
295793;Marc Pubill;530;Defensa;Rendimiento Bajo;9.64;8.77;-0.87
451594;Alejandro Monserrate;530;Mediocentro;Pocos minutos;0.0;0.0;0.0
324750;Carlos Martín;530;Delantero;Rendimiento Alto;0.0;3.95;3.95
443668;Rayane Belid;530;Delantero;Pocos minutos;0.0;0.0;0.0
189997;Mario de Luis;530;Portero;Pocos minutos;0.0;0.0;0.0
491091;Sergio Esteban;530;Delantero;Pocos minutos;0.0;0.0;0.0
30399;D. Hancko;530;Defensa;Estable;6.14;6.69;0.54
26315;N. González;530;Mediocentro;Rendimiento Alto;1.31;17.7;16.39
386869;Dani MartÃ­nez;530;Defensa;Pocos minutos;0.0;0.0;0.0
386870;Julio Díaz del Romo;530;Mediocentro;Pocos minutos;0.0;0.0;0.0
30543;G. Raspadori;530;Delantero;Pocos minutos;0.67;0.0;0.0
548706;I. Luque;530;Delantero;Pocos minutos;0.0;0.0;0.0
6009;J. Álvarez;530;Delantero;Estable;4.57;7.09;2.51
6067;T. Almada;530;Mediocentro;Rendimiento Alto;1.85;23.96;22.12
182219;Álex Baena;530;Mediocentro;Rendimiento Alto;2.23;26.49;24.26
393198;Salvador Esquivel;530;Portero;Pocos minutos;0.0;0.0;0.0
84086;Robert Navarro;531;Mediocentro;Rendimiento Alto;1.47;14.58;13.1
407677;Iker Monreal;531;Defensa;Pocos minutos;0.0;0.0;0.0
47270;Unai Simón;531;Portero;Rendimiento Alto;1.29;5.06;3.78
47273;Yuri;531;Defensa;Rendimiento Bajo;7.42;6.56;-0.86
47276;Lekue;531;Defensa;Estable;4.8;5.08;0.28
47278;Dani Vivian;531;Defensa;Estable;6.31;6.14;-0.16
47291;Gorka Guruzeta;531;Delantero;Rendimiento Alto;1.94;5.69;3.75
47294;I. Williams;531;Mediocentro;Rendimiento Alto;0.92;12.09;11.17
47299;Gorosabel;531;Defensa;Pocos minutos;4.16;0.0;0.0
47418;Mikel Vesga;531;Mediocentro;Pocos minutos;0.23;0.0;0.0
182617;Beñat Prados;531;Mediocentro;Pocos minutos;1.5;0.0;0.0
182639;Unai Vencedor;531;Mediocentro;Rendimiento Alto;0.0;33.8;33.8
377257;Endika Bujan;531;Delantero;Pocos minutos;0.0;0.0;0.0
332308;Unai Gómez;531;Mediocentro;Rendimiento Alto;0.62;10.58;9.96
332309;Alejandro Rego;531;Mediocentro;Rendimiento Alto;0.46;19.59;19.13
622;Aymeric Laporte;531;Defensa;Rendimiento Bajo;6.87;6.01;-0.87
383780;Mikel Jauregizar;531;Mediocentro;Rendimiento Alto;1.14;39.02;37.88
568156;S. Sanchez;531;Mediocentro;Pocos minutos;1.0;0.0;0.0
287680;Maroan Sannadi;531;Delantero;Estable;1.12;3.59;2.46
336998;A. Boiro;531;Defensa;Estable;4.3;5.3;1.0
312468;Álex Padilla;531;Portero;Pocos minutos;0.0;0.0;0.0
384267;Ibon Sánchez;531;Mediocentro;Pocos minutos;0.0;0.0;0.0
